,Recipe_Index,all_purpose_flour,baking_powder,baking_soda,butter,egg,salt,sugar,vanilla,light_brown_sugar,dark_brown_sugar,bittersweet_chocolate_chip,semisweet_chocolate_chip,milk_chocolate_chip
1,AR_1,3,0,1,1,2,0.5,1,2,1,0,0,2,0
2,AR_10,2.8,0,0.8,0.533333333,1.6,0.8,0.8,2.4,0.8,0,0,1.6,0
3,AR_101,1.107692308,0.738461538,0.738461538,0,1.476923077,0.276923077,0.738461538,1.107692308,0.738461538,0,0,0.99,0.325
4,AR_102,3.333333333,0,1.333333333,0.666666667,2.666666667,0,0.333333333,1.333333333,1,0,0,2,0
5,AR_103,2,0,0.9,0.8,1.6,0.8,0.4,2.4,0.4,0,0,1.2,0
6,AR_107,9,0,4,0,8,2,3,0,3,0,0,12,0
7,AR_108,0.857142857,0,0.571428571,0,1.142857143,0.571428571,0.285714286,0.571428571,0.571428571,0,0,1.142857143,0
8,AR_109,2.666666667,0,1.333333333,0,1.333333333,0.666666667,0.666666667,1.333333333,0.666666667,0,0,1.333333333,0
9,AR_11,3.333333333,0,1.333333333,1.333333333,2.666666667,1.333333333,0.666666667,1.333333333,1.333333333,0,0,2.666666667,0
10,AR_110,4,0,1,1,1,1,1,1,1,0,0,2,0
11,AR_111,5,0,1,1,4,0,1,2,2,0,0,3,0
12,AR_116,1.125,0,0.25,0,1,0.25,0.5,1,0.25,0,0,1.25,0
13,AR_118,2,0,0.8,0,1.6,0.8,0.8,1.6,0.4,0,0,1.2,0
14,AR_119,3.5,1,1,1.5,2,0,1.25,3,1.25,0,0,2,0
15,AR_12,2.5,0,1,1,2,1,0.5,2,1,0,0,1.5,0
16,AR_128,4.5,0,2,2,4,2,1.5,2,1.5,0,0,4,0
17,AR_13,4.5,0,2,0,4,2,1,2,2,0,0,4,0
18,AR_14,1.333333333,0.666666667,0.666666667,0.666666667,1.333333333,0.666666667,0.666666667,1.333333333,0.666666667,0,0,2,0
19,AR_140,3.111111111,0,1.333333333,1.333333333,2.666666667,0,1,1.333333333,1,0,0,2.666666667,0
20,AR_141,3.333333333,0,1.333333333,0,2.666666667,1.333333333,0,1.333333333,1.333333333,0,0,2.666666667,0
21,AR_142,3,0,2,1,4,1,1.5,3,1.5,0,0,3,0
22,AR_144,2,0,1,1,2,1,1,2,1,0,0,2,0
23,AR_15,2.25,0,1,0,2,0,0.25,1,0.75,0,0,2,0
24,AR_155,3,0,1.333333333,1.333333333,2.666666667,0,0.333333333,1.333333333,1,0,0,2.666666667,0
25,AR_156,8,0,2,3,4,2,2,12,4,0,0,8,0
26,AR_16,2.285714286,1.142857143,1.142857143,1.142857143,2.285714286,0,1.142857143,0.571428571,1.142857143,0,0,0.857142857,0.571428571
27,AR_164,2.25,0,1,1,2,1,0.75,1,0.75,0,0,2,0
28,AR_169,3.555555556,1.333333333,1.333333333,1.333333333,2.666666667,0,0,0,2.666666667,0,0,2.666666667,0
29,AR_19,2.666666667,0,1.333333333,0,2.666666667,1.333333333,1.333333333,1.333333333,0.666666667,0,0,1.333333333,1.333333333
30,AR_195,6,0,0,2,4,0,0,0,1.5,0,0,2,0
31,AR_196,3,0,1.333333333,1.333333333,2.666666667,0.666666667,1,2.666666667,0,0,0,2.666666667,0
32,AR_197,4,0,2,2,4,0,2,2,1,0,0,1,0
33,AR_2,1.333333333,0,1.333333333,0.666666667,1.333333333,0.333333333,0.666666667,0.666666667,0.444444444,0,0,1.333333333,0
34,AR_21,4.666666667,0,2,0,2.666666667,2.666666667,0,8,3.333333333,0,0,2.666666667,0
35,AR_218,2.666666667,0,1.333333333,0,1.333333333,0.666666667,0.666666667,3.333333333,1,0,0,1.777777778,0
36,AR_256,7,2,2,2,4,2,0.73,8,4,0,0,3,0
37,AR_26,2.5,0.5,0.5,1,2,0,0.75,3,1,0,0,3,0
38,AR_27,4.333333333,2.666666667,0,1,1.333333333,0.666666667,2,2,0,0,0,1,0
39,AR_28,4.5,0,2,0,4,1,1.5,4,1.5,0,0,2,0
40,AR_280,1.5,0.25,0.75,0,0,0,0.5,0,0.5,0,0,0.5,0
41,AR_3,2.25,0,1,1,2,0,0.25,1,0.75,0,0,2,0
42,AR_30,1.125,0,0.5,0.5,1,0.5,0.5,1,0.25,0,0,1,0
43,AR_32,3.6,0.8,0.8,0,3.2,0,0.8,1.6,1.6,0,0,3.2,0
44,AR_33,3.333333333,0,1.333333333,0.666666667,2.666666667,0.333333333,0.666666667,2.666666667,1.333333333,0,0,0.555555556,0
45,AR_35,4,0,2,2,4,0,1,2,1.333333333,0,0,4,0
46,AR_37,5.333333333,0,2.666666667,2,2.666666667,1.333333333,1.666666667,4,2,0,0,4,0
47,AR_39,2,1,1,0.5,2,1,1,2,1,0,0,2,0
48,AR_4,2.5,1,1,1,2,0.5,1,1,1,0,0,0.666666667,0.666666667
49,AR_43,5,0,2,0,4,1,1,2,2,0,0,2,0
50,AR_45,2.75,0,1,0,2,0,0.75,1,0.75,0,0,2,0
51,AR_47,8,2,0,0,8,4,3,4,3,0,0,8,0
52,AR_48,5,2,0,1.5,4,0,1.5,2,1.5,0,0,4,0
53,AR_49,2.333333333,0,1.333333333,1.666666667,2.666666667,1.333333333,1,1.333333333,1,0,0,2,2
54,AR_5,2.25,0,1,1,2,1,0.75,1,0.75,0,0,2,0
55,AR_50,6,2,2,0,4,0,2,2,0,0,0,2,0
56,AR_53,4,0,2,0,4,2,1,2,2,0,0,2,0
57,AR_54,2,0,1,0,4,0.5,1,2,0.5,0,0,1,0
58,AR_55,3.5,0,2,1,4,1,1.5,0,1.5,0,0,2,0
59,AR_57,2,1,1,1,2,0.5,1,2,1,0,0,1,0
60,AR_66,4.5,0,2,0,4,2,1.5,4,1.5,0,0,0,4
61,AR_67,3.375,0,1.5,1.5,1.5,1.875,1.5,1.875,0.75,0,0,3,0
62,AR_69,3.375,0,1.5,1.5,3,1.5,1.5,1.5,0.75,0,0,1,1
63,AR_7,2.222222222,1,0.666666667,1,1.333333333,0.666666667,0.444444444,1.333333333,1,0,0,0,2.666666667
64,AR_70,1.6,0.8,0.8,0.8,1.6,0.4,0.8,0.8,0.8,0,0,1.6,0.4
65,AR_78,2.5,0.5,1,1,2,1,0.75,1,0.75,0,0,2,0
66,AR_79,5,2,0,2,4,4,2,4,1,0,0,0,4
67,AR_8,4.5,0,2,2,4,2,2,4,1.5,0,0,4,0
68,AR_84,7,2,2,2,4,2,0.73,8,4,0,0,6,0
69,AR_88,2.5,0,1,0,1,0.25,0,2,0.75,0,0,1.5,0
70,AR_89,1.8,0,0.8,0,1.6,0.2,0.6,0.8,0.6,0,0,0.8,0
71,AR_90,5,0,2,2,4,1,1.5,2,1.5,0,0,2,0
72,AR_91,4,0,2,1,4,2,1.5,2,1.5,0,0,4,0
73,AR_95,4,1.6,1.6,1.6,3.2,1.2,0.8,4.8,2.4,0,0,0,3.2
74,AR_96,2.333333333,0,1.333333333,0.666666667,2.666666667,1.333333333,1.333333333,1.333333333,1.333333333,0,0,0,0.666666667
75,AR_97,1.8,0,0.8,0.8,1.6,0.4,0.4,0,0.8,0,0,1.2,0
76,AR_98,5.813333333,0,1.920003072,1.333333333,4,0.72,2,2.56,2,0,0,0.011666667,0
77,E_133,1,0,0.5,0,1,0,0.375,0.5,0.375,0,0,1,0
78,E_169,12,0,0,3,0,0,0,48,6,0,0,0,0
79,E_21,2.4,1.2,0,2.75,2.4,1.8,0.6,1.2,1.8,0,2.4,0,0
80,E_215,3,2,0.5,1,3,1,0.75,2,1.5,0,2,0,0
81,E_220,2,0,1.333333333,1,1.333333333,0.666666667,0.666666667,1.333333333,1,0,0,1.333333333,0
82,E_230,5.142857143,0,2.571428571,1.71,5.142857143,2.571428571,1.714285714,2.571428571,2.571428571,0,0,4.285714286,0
83,E_258,3.5,0,2,1,4,1,1,2,2,0,0,0,3.125
84,E_26,5.4,0,2.4,1.2,4.8,2.4,1.8,3.6,1.8,0,0,2.4,0
85,E_362,2,1.333333333,0.333333333,0.833333333,2.666666667,0.666666667,1,1.333333333,1,0,0,1.333333333,0
86,E_375,3.428571429,0,1.142857143,0.571428571,2.285714286,1.142857143,0.571428571,1.142857143,1.142857143,0,0,1.857142857,0
87,E_399,4.363636364,0.545454545,0.545454545,1.909090909,2.181818182,0.545454545,1.636363636,2.181818182,2.181818182,0,0,0,0
88,E_509,0.32,0,0.16,0.2,0.32,0.24,0,0.16,0.213333333,0,0,0.4,0
89,E_79,2.4,0,1.6,3.2,3.2,0.8,1.2,1.6,0.8,0,0,2.4,0
90,E_87,2.88,0,0.48,1.2,1.92,0,0.96,0.96,0,0,0,1.44,0
91,E_88,16,0,4,8,16,2,4,24,4,0,0,8,0
92,E_89,2.5,0,1,1,2,1,1,1,0.75,0,2,0,0
93,E_91,1.8,0,0.8,0.8,1.6,0.8,0.6,0.8,0.6,0,0,1.6,0
94,Misc_10,3.6,0,1.2,0.8,3.2,1.6,1.2,1.6,0,1.2,0,0.2,0
95,Misc_101,6,0,1.5,2.4375,3,3,1.5,6,2.25,0,0,3,3
96,Misc_102,7,0,4,4,8,4,0,12,0,0,0,4,0
97,Misc_103,3.333333333,0,1.333333333,1.333333333,2.666666667,0,0.666666667,1.333333333,1.333333333,0,0,2.666666667,0
98,Misc_104,2,0,1.6,0.8,1.6,0.8,0,1.6,0.8,0,0,4,0
99,Misc_105,8,0,4,0,8,2,2.666666667,8,0,4,0,8,0
100,Misc_106,3,0,1.333333333,1.333333333,1.333333333,1.333333333,0.888888889,2.666666667,0.888888889,0,0,0,0
101,Misc_107,2,0,1.6,0,1.6,0,0,1.6,0,0,0,4,0
102,Misc_108,2.5,0,2,1,2,1,0.75,2,1,0,0,2,1.5
103,Misc_109,4,4,4,2,4,1,2,6,2,0,0,0.625,0
104,Misc_11,1.8,0,0.8,0.8,1.6,0.8,0.6,0.8,0.6,0,0,1.6,0
105,Misc_110,2.34375,0.75,1.5,1.5,1.5,3,1.359375,4.5,1.5,0,0,0,2.587
106,Misc_111,2.933333333,0,1.066666667,1.066666667,1.066666667,0.8,0.533333333,1.6,1.333333333,0,0,1.866666667,0
107,Misc_112,5.333333333,0,2,0,5.333333333,2,2.666666667,4,0.888888889,0.888888889,0,1.6429,0.3285
108,Misc_113,2.857142857,0,1.142857143,1.142857143,2.285714286,1.142857143,0.857142857,1.142857143,0.857142857,0,0,0,0
109,Misc_114,3.6,0,1.6,0.15,3.2,0,1.066666667,1.6,1.2,0,0,0,0
110,Misc_12,3,0,2,1,2,1,0.75,2,1,0,0,4.5,0
111,Misc_13,3,0,0.666666667,1.333333333,2.666666667,1.333333333,0.666666667,2.666666667,1.333333333,0,0,0,2.6666
112,Misc_14,5.538461538,0,1.846153846,0,3.692307692,1.846153846,0.923076923,3.692307692,2.307692308,0,0,3.692307692,0
113,Misc_15,2.933333333,0,1.066666667,1.066666667,1.066666667,0.8,0.533333333,1.6,1.333333333,0,0,1.866666667,0
114,Misc_16,2.833333333,0,1.333333333,0,2,0.333333333,0.833333333,1.333333333,0.833333333,0,0,0.666666667,0
115,Misc_17,4.25,1,1,1.5,2,1,1.25,3,1.25,0,0,1,0
116,Misc_18,2.666666667,0,1.333333333,0.666666667,1.333333333,1,0.888888889,2.666666667,0.888888889,0,0,2.666666667,0
117,Misc_19,4.875,1.5,1.5,1.5,3,1.5,0.75,1.5,2.25,0,0,3,0
118,Misc_2,1.5,0,0.5,0.5,1,0.25,0.5,1,0.5,0,1,0,0
119,Misc_20,5,2,2,4,4,1.5,0.666666667,4,2,0,0,0,4
120,Misc_22,2.333333333,0,0.75,0.00390625,2,1,0.75,0,0,1,0,5,0
121,Misc_23,4,0,1.5,0,4,1.5,2,3,0,0.666666667,0,0.25,0
122,Misc_24,2,0,2,0.666666667,1.333333333,2,2,2,0.666666667,0,0,2,0
123,Misc_26,5.333333333,0,2.5,2,4,2,1.5,3,2,0,0,0.25,0
124,Misc_27,5,0,2.5,2,4,2,2,3,2,0,0,4,0
125,Misc_28,5,0,2.5,2,4,2,2,3,2,0,0,4,0
126,Misc_29,2.666666667,0,0.666666667,1,1.333333333,0.666666667,0.666666667,2.666666667,1.333333333,0,0,2,0
127,Misc_3,0,0,0,0.916666667,1.333333333,1.333333333,0,0,0,0,0,0,0
128,Misc_30,5.4,0,2.4,2.4,4.8,2.4,1.8,7.2,1.8,0,0,7.2,0
129,Misc_31,2,0,0.4,0.4,1.6,0,0.4,0.8,0.8,0,0,1.6,0
130,Misc_32,6,2,2,2,4,0,0,6,2.5,0,0,3,2
131,Misc_33,2.64,0,0.96,0.96,1.92,0.24,0.72,0.96,0.72,0,0,1.92,0
132,Misc_34,8.571428571,0,3.428571429,3.428571429,6.857142857,5.142857143,0,6.857142857,4.285714286,0,6.857142857,0,0
133,Misc_35,2.461538462,0,0.923076923,0.923076923,1.846153846,0.923076923,0.461538462,0.923076923,0.461538462,0,0,1.846153846,0
134,Misc_36,5.25,2.25,1.875,1.875,3,1.125,1.5,3,0,1.875,0,0,0
135,Misc_37,4,0,1.333333333,0,2.666666667,1.333333333,1.333333333,4,0.666666667,0.666666667,0,1.333333333,1.3333
136,Misc_38,5.2,0,1.6,2.133333333,3.2,1.2,2,6.4,1.6,0,0,0.2,0
137,Misc_39,1.6,0,0.8,0.8,1.6,0.4,0.6,0.8,0.6,0,0,0,1.6
138,Misc_4,9.6,0,0,0,4.8,0,7.2,7.2,0,0,3.5488,0,0
139,Misc_40,2.25,0,1,1,2,0.5,0.75,1.5,0.75,0,0,1.5,0
140,Misc_41,2.7,0,1.2,0.6,2.4,1.2,0.9,1.2,0,0.9,0,2.4,0
141,Misc_42,4.8,0,1.6,1.6,3.2,1.6,0,3.2,1.6,0,0,3.2,0
142,Misc_43,2.526315789,0,1.263157895,1.263157895,2.526315789,1.263157895,0,2.526315789,1.263157895,0,0,1.263157895,0
143,Misc_44,4,0,1,1.5,2,1,1,4,2,0,0,0,3
144,Misc_45,2.666666667,0,1.333333333,1.333333333,2.666666667,1.333333333,0.666666667,1.333333333,0.666666667,0,0,2,0
145,Misc_46,3.5,0,2,0.666666667,2,1.5,1,2,0,1,0,0,4
146,Misc_47,1.428571429,0,0.571428571,0.571428571,1.142857143,0.571428571,0.428571429,0.571428571,0.428571429,0,0,1.142857143,0
147,Misc_48,2.666666667,0,1.333333333,0.666666667,1.333333333,1,0.888888889,2.666666667,0.888888889,0,0,2.666666667,0
148,Misc_5,2.909090909,0,1.818181818,1.454545455,2.909090909,4.36,0,4.363636364,2.181818182,0,2.909090909,0,0
149,Misc_50,4.25,0,2,2,4,2,1,4,0,2,2,3,0
150,Misc_51,2.133333333,0,0.8,1.066666667,2.133333333,1.066666667,1.066666667,2.133333333,0.711111111,0,2.133333333,0,0
151,Misc_52,1.68,0,0.72,0.24,1.92,1.2,0.96,1.92,0.72,0,9.6,0,0
152,Misc_53,5.25,0,0,2.625,3,3,0,6,0,0,0,3.75,0
153,Misc_54,2.666666667,0,1,0,1.333333333,1.333333333,0,4,1.666666667,0,0,1.333333333,0
154,Misc_55,2.857142857,0.571428571,0.571428571,1.142857143,2.285714286,1.142857143,1.142857143,2.285714286,0,1.142857143,0,2.285714286,0
155,Misc_56,4,0,2,0,2,1,0.5,4,0,1.5,0,2,0
156,Misc_6,3.5,0,0,1.75,0,6,0,6,0,0,3,0,0
157,Misc_60,4,2,0,0,4,2,0,2,3,0,0,3,0
158,Misc_61,2.25,0,1,0,2,0.5,0.75,2,0.75,0,0,0,1.417
159,Misc_62,3,2,2,2,4,0,2,2,2,0,0,0,0
160,Misc_63,4,1.777777778,0.888888889,1.777777778,1.777777778,0.888888889,1.333333333,1.777777778,1.333333333,0,0,0.888888889,0.8888
161,Misc_64,2.4,0,1.2,1.2,2.4,1.2,0.9,1.2,0,0.9,0,2.4,0
162,Misc_65,2.25,0,1,1,1,0.5,0.75,1,0.75,0,0,1.625,0
163,Misc_67,2,0,1,0,2,0,1,2,1,0,0,0,0
164,Misc_68,3.5,0,1,1,2,1,1,4,0.5,0,0,2,0
165,Misc_69,6,0,2,2,4,1,2,4,1,0,0,3,0
166,Misc_7,4,1.6,1.6,1.6,4.8,3.2,0,4.8,2.4,0,4.8,0,0
167,Misc_70,3.333333333,0.666666667,1.333333333,1.333333333,1.333333333,1,1.333333333,2.666666667,0,1.333333333,0,0,2.6666
168,Misc_72,9.6,0,0,0,4.8,0,7.2,7.2,0,0,3.45,0,0
169,Misc_73,3,1,1,1,2,1.5,1.75,2,1,0,0,0,0
170,Misc_74,4,1.333333333,1.333333333,0,2.666666667,1.333333333,1.333333333,1.333333333,1.333333333,0,0,0,2.6666
171,Misc_75,5.925925926,2.666666667,2.666666667,1.777777778,3.555555556,0.888888889,0.888888889,3.555555556,2.666666667,0,0,0,0
172,Misc_76,7,2,2,2,4,2,2,2,2,0,0,0,0
173,Misc_77,4.571428571,1.142857143,1.142857143,1.285714286,3.428571429,1.142857143,0,3.428571429,2.662857143,0,0,1.1266,0
174,Misc_78,4,0,2.4,0,2.4,0,0,2.4,0,0,0,2.4,0
175,Misc_79,6.857142857,0,3.428571429,2.571428571,3.428571429,0,0.857142857,3.428571429,2.571428571,0,0,0,0
176,Misc_8,1.745454545,0.872727273,0.872727273,0.872727273,1.745454545,0,0.872727273,0.872727273,0,0.872727273,0,1.309090909,0.537
177,Misc_80,6,0,2,2,4,1,2,4,0,1,0,2,0
178,Misc_81,5.333333333,0,1.333333333,2,2.666666667,1.333333333,1.333333333,8,2.666666667,0,0,2.666666667,2.6666
179,Misc_82,5.142857143,0,1.714285714,1.714285714,3.428571429,0.857142857,1.142857143,5.142857143,0,1.714285714,0,2.285714286,0
180,Misc_84,6.461538462,0,0,2.769230769,3.692307692,3.692307692,0,7.384615385,0,0,0,4.615384615,0
181,Misc_85,2.666666667,0,1.333333333,0.666666667,1.333333333,0.666666667,0.888888889,2.666666667,0.888888889,0,0,2.666666667,0
182,Misc_86,6,0,4,2,4,1,1.333333333,8,2,0,0,4,0
183,Misc_87,8,0,4,0,4,0,0,12,4,0,0,0,0
184,Misc_89,5.142857143,0,1.714285714,1.714285714,3.428571429,0.857142857,1.714285714,3.428571429,0.857142857,0,0,3.428571429,0
185,Misc_9,2.25,0,1,0,1,0.5,0.75,1,0.75,0,0,1,0
186,Misc_90,12,0,4.8,4.8,7.2,2.4,4.8,4.8,4.8,0,0,0.6,0
187,Misc_91,2,0,1,1,1,1,0.5,3,0,1,0,0,0
188,Misc_92,4.666666667,0,0,0,2.666666667,3.333333333,0,5.333333333,0,0,0,4,0
189,Misc_93,4,0,0,1.333333333,2.666666667,1.333333333,1.333333333,4,1.333333333,0,0,2,0
190,Misc_96,4.2,0,1.8,1.2,2.4,1.2,0.6,2.4,1.8,0,0,0,0
191,Misc_97,5.142857143,0,1.371428571,1.828566857,2.742857143,2.057142857,1.371428571,0,2.133325714,0,0,0,0
192,Misc_98,4.5,0,2,4,2,0,0,4,0,2.5,0,2,0
193,Misc_99,7.333333333,0,2.666666667,2.666666667,5.333333333,2.666666667,2,8,2,0,0,5.333333333,0
194,Misc_1,0,6,5,5,8,6,4,8,5,0,12,0,0
195,Misc_100,0,4,3.333333333,2.666666667,5.333333333,4,3,5.333333333,3.333333333,0,12,0,0
196,Misc_49,0,2.4,2,2,3.2,2.4,1.6,3.2,2,0,4.205,0,0
197,Misc_71,0,3.692307692,0,0,0,0,0,0,0,0,0,4.615384615,0
198,Misc_94,0,2,1.666666667,1.666666667,2.666666667,2,1.5,2.666666667,1.666666667,0,0,0,0
199,E_146,0,0,0.088888889,1,0.266666667,0,0.088888889,0.266666667,0.088888889,0,0.088888889,0,0.044444444
200,E_197,0,0,1,0,1.333333333,0.333333333,0.666666667,2,0.333333333,0,0,1,0
201,Misc_21,0,0,2,2,2,2,0.5,3,2,0,0,3,0
202,Misc_25,0,0,2,0,4,2,0,2,0,0,0,0,0
203,Misc_83,0,0,1,0.75,2,0.5,0.75,2,0.75,0,0,0,0
204,Misc_95,0,0,1.666666667,0,2.666666667,1.666666667,0,2.666666667,0,0,0,0,0
205,AR_23,0,0,0,0.5,2,0,0,1,0,0,0,2,0
206,AR_52,0,0,0,0.666666667,1.333333333,0,0,1.333333333,0,0,0,0.666666667,0
207,AR_99,0,0,0,1,2,0,0,0,0,0,0,2,0
208,AR_113,0,0,0,0,2.666666667,0,0,0,0,0,0,1.88875,0
209,Bon_appetit,4.5,0,2.25,4.5,9,3.75,0.75,6,3,0,0,3,0
211,joy,4.5,0,2,2,3,2,1,4,2,0,2,0,0
212,betty,4.5,0,2,2,2,1,1.5,2,1.5,0,4,0,0
213,leite,3.5,1.5,1.25,1.5,2,1.5,1.05,2,1.5,0,3.5,0,0
214,H_A,7.5,4.5,3,1.5,6,1.5,0.75,3,3,0,6,0,0
215,yum,3,0,1,2,2,0.25,1,2,0.5,0,0,1.5,0